url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,16,5
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,5,3
/TheBinaryBjorn/smart-ac-controller/tree/main,5,2
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats,5,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,4,2
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code/data,2,2
/TheBinaryBjorn/smart-ac-controller/activity,2,1
/TheBinaryBjorn/smart-ac-controller/issues,2,1
/TheBinaryBjorn/smart-ac-controller/tree/github-repo-stats/TheBinaryBjorn/smart-ac-controller,2,1
