url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,5,3
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,5,3
/TheBinaryBjorn/smart-ac-controller,4,4
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,4,4
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,2,2
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
/TheBinaryBjorn/smart-ac-controller/tree/main,2,1
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/data/background.png,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github,1,1
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,1,1
