url_path,views_total,views_unique
/TheBinaryBjorn/smart-ac-controller,5,5
/TheBinaryBjorn/smart-ac-controller/blob/main/smart_ac_controller_main_code/smart_ac_controller_main_code.ino,5,3
/TheBinaryBjorn/smart-ac-controller/tree/main/smart_ac_controller_main_code,5,3
/TheBinaryBjorn/smart-ac-controller/tree/main/ir_receiver,4,4
/TheBinaryBjorn/smart-ac-controller/tree/main,3,2
/TheBinaryBjorn/smart-ac-controller/blob/main/ir_receiver/ir_receiver.ino,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github,2,2
/TheBinaryBjorn/smart-ac-controller/tree/main/.github/workflows,2,2
/TheBinaryBjorn/smart-ac-controller/blob/github-repo-stats/TheBinaryBjorn/smart-ac-controller/latest-report/report.pdf,2,1
/TheBinaryBjorn/smart-ac-controller/blob/main/README.md,2,1
